id_offre,titre,entreprise,ville,domaine,description,competences,duree_mois,remunere
OFF-001,Stagiaire Paie,Emploi Direct Tunisie,Ariana,Ressources Humaines,Il contribue à l'organisation de sessions de formation interne et au suivi des indicateurs RH. L'étudiant assiste aux entretiens de recrutement et rédige des comptes rendus d'évaluation des compétences.,Gestion-des-Talents SIRH Entretiens Droit-du-Travail Onboarding Fiches-de-Poste,5,
OFF-002,Ingénieur Structures Junior,Bâtir Plus Tunisie,Monastir,Génie Civil & BTP,Le stage porte sur le suivi budgétaire des travaux et la gestion des approvisionnements en matériaux. L'étudiant assiste le conducteur de travaux dans la coordination des équipes sur le chantier. Il utilise AutoCAD et Revit pour la conception des plans techniques et des structures du bâtiment. Le stagiaire assure le suivi de chantier et vérifie la conformité des plans de structures en béton armé.,Génie-Civil Suivi-de-Travaux Plans Ouvrages Sécurité,5,Oui
OFF-003,Stage Vision par Ordinateur,Carthage Analytics,Tunis,Data & IA,Il développe des modèles de deep learning avec TensorFlow et PyTorch pour des tâches de vision par ordinateur. Le stagiaire nettoie et prépare des jeux de données avec Pandas puis entraîne des modèles de classification supervisée. Il travaille sur des techniques de TF-IDF et de traitement du langage naturel pour l'analyse de textes. La mission consiste à construire des pipelines de features et à évaluer les modèles via precision recall et F1-score.,Power-BI Naive-Bayes Pandas Spark Python SQL,6,
OFF-004,Stage Essais Cliniques,BioSanté Tunis,Sousse,Santé & Biologie,Le stage porte sur le suivi des patients dans le cadre d'essais cliniques encadrés par un médecin référent. Il contribue au contrôle qualité des échantillons et à la validation des méthodes d'analyse. Il participe au suivi des essais cliniques et à la collecte des données de pharmacovigilance. Le stagiaire réalise des analyses en laboratoire et applique les protocoles de contrôle qualité pharmaceutique.,Laboratoire Pharmacovigilance Santé Protocoles,6,Oui
OFF-005,Stagiaire MLOps,NeuralTech Sfax,Sfax,Data & IA,L'étudiant conçoit des tableaux de bord Power BI à partir de données extraites en SQL. La mission consiste à construire des pipelines de features et à évaluer les modèles via precision recall et F1-score. Il implémente des algorithmes de Naive Bayes et de régression logistique pour prédire des variables métier. Le stagiaire nettoie et prépare des jeux de données avec Pandas puis entraîne des modèles de classification supervisée.,Machine-Learning TensorFlow Spark Power-BI NLP,5,Non
OFF-006,Stagiaire Ingénieur Machine Learning,DataVision Tunisie,Ariana,Data & IA,L'étudiant conçoit des tableaux de bord Power BI à partir de données extraites en SQL. Le stagiaire nettoie et prépare des jeux de données avec Pandas puis entraîne des modèles de classification supervisée.,Pandas Deep-Learning TF-IDF Power-BI,6,Oui
OFF-007,Stage Coordinateur Entrepôt,TransMed Sfax,Sousse,Logistique & Supply Chain,Il contribue à l'organisation de l'entrepôt et à l'optimisation des flux de marchandises. Il participe au suivi des délais de livraison et à la résolution des incidents de transport. La mission inclut le suivi des opérations d'import export et la gestion des documents douaniers.,Import-Export Supply-Chain Approvisionnement Logistique,5,Oui
OFF-008,Développeur Java Junior,Carthage Software,Sfax,Informatique & Web,L'étudiant participe à la maintenance des serveurs Linux et à l'administration réseau de l'infrastructure. La mission inclut la mise en place de pipelines CI/CD et la conteneurisation des services avec Docker et Kubernetes.,Symfony Spring-Boot SQL Linux Git,5,Oui
OFF-009,Stagiaire Reporting Financier,Carthage Finance,Ariana,Finance & Comptabilité,Il contribue à l'analyse de portefeuille d'investissement et à l'évaluation des risques financiers. L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société. Il prépare des rapports de reporting financier mensuel destinés à la direction générale. Il utilise Excel avancé pour construire des modèles financiers et des tableaux de bord de trésorerie.,Analyse-Financière Bilan Ratios-Financiers SAP,4,Non
OFF-010,Assistant Gestion de Portefeuille,Portefeuille Plus,Sousse,Finance & Comptabilité,Il utilise Excel avancé pour construire des modèles financiers et des tableaux de bord de trésorerie. Il prépare des rapports de reporting financier mensuel destinés à la direction générale. Le stagiaire participe à l'établissement du bilan et à l'analyse des ratios financiers de l'entreprise. L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société.,Trésorerie Audit Contrôle-de-Gestion Bilan,2,Oui
OFF-011,ASSISTANT ARCHITECTE TECHNIQUE,BTP Confort,Monastir,Génie Civil & BTP,Il participe à l'élaboration des métrés et à l'estimation des quantités de matériaux nécessaires aux ouvrages. Il utilise AutoCAD et Revit pour la conception des plans techniques et des structures du bâtiment.,Génie-Civil Sécurité Topographie Revit AutoCAD,3,Non
OFF-012,Stage Coordinateur Entrepôt,LogiTrans Sousse,Monastir,Logistique & Supply Chain,Il participe à la planification des transports et à la coordination des livraisons entre entrepôts. Le stagiaire optimise la gestion des stocks et suit les niveaux d'approvisionnement sur SAP. Il participe au suivi des délais de livraison et à la résolution des incidents de transport. La mission inclut le suivi des opérations d'import export et la gestion des documents douaniers.,Optimisation-des-Flux Gestion-de-Stocks Import-Export Planification,4,Non
OFF-013,Responsable Flux Junior,Achats Express Tunisie,Sfax,Logistique & Supply Chain,Il participe à la planification des transports et à la coordination des livraisons entre entrepôts. Il assiste le service achats dans la négociation avec les fournisseurs et le suivi des commandes. Le stagiaire optimise la gestion des stocks et suit les niveaux d'approvisionnement sur SAP.,Logistique Approvisionnement Supply-Chain Entrepôt Import-Export,4,Oui
OFF-014,Stagiaire Brand Manager,Visibility Plus,Tunis,Marketing & Digital,Il assiste le chef de produit dans le lancement de nouvelles offres et l'étude de la concurrence. La mission inclut la création de contenus visuels sur Canva et la rédaction de textes publicitaires percutants.,Analytics SEO Emailing Marketing-Automation,4,Oui
OFF-015,Stagiaire Relations Sociales,HR Partners Tunis,Sousse,Ressources Humaines,L'étudiant assiste aux entretiens de recrutement et rédige des comptes rendus d'évaluation des compétences. Il participe à la gestion des talents et au suivi des plans de formation des collaborateurs.,Onboarding Droit-du-Travail Paie Évaluation-des-Compétences Gestion-des-Talents Formation,6,Oui
OFF-016,Data Scientist Junior,InsightCube,Tunis,Data & IA,Il réalise des analyses statistiques exploratoires et documente les résultats dans des rapports techniques. Il travaille sur des techniques de TF-IDF et de traitement du langage naturel pour l'analyse de textes. L'étudiant conçoit des tableaux de bord Power BI à partir de données extraites en SQL.,PyTorch Python TensorFlow Spark NLP,,Oui
OFF-017,Stage Audit Financier,Trésor Conseil Tunisie,Tunis,Finance & Comptabilité,Il prépare des rapports de reporting financier mensuel destinés à la direction générale. L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société. Il assiste l'équipe d'audit dans la vérification des comptes et le contrôle des procédures internes. Il contribue à l'analyse de portefeuille d'investissement et à l'évaluation des risques financiers.,SAP Contrôle-de-Gestion Comptabilité Bilan Reporting,3,Oui
OFF-018,Assistant SIRH,GRH Solutions,Sfax,Ressources Humaines,La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH. L'étudiant assiste aux entretiens de recrutement et rédige des comptes rendus d'évaluation des compétences.,Fiches-de-Poste Gestion-des-Talents Onboarding Paie Recrutement,2,Non
OFF-019,Assistant Conducteur de Travaux,Bâtir Plus Tunisie,Tunis,Génie Civil & BTP,Il contribue à la rédaction des rapports de chantier et au suivi de l'avancement des ouvrages. Il participe à l'élaboration des métrés et à l'estimation des quantités de matériaux nécessaires aux ouvrages. Il participe aux relevés topographiques et à la vérification des fondations avant coulage du béton.,AutoCAD Suivi-de-Travaux Chantier Revit Sécurité,4,Non
OFF-020,STAGE FORMATION ET DÉVELOPPEMENT,HR Partners Tunis,Ariana,Ressources Humaines,Il participe à la gestion des relations sociales et au suivi des dossiers du personnel. La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH.,Entretiens Fiches-de-Poste SIRH Formation Onboarding,6,Oui
OFF-021,assistant recherche clinique,Clinilab Sfax,Monastir,Santé & Biologie,La mission inclut des manipulations de biologie moléculaire et l'interprétation de diagnostics médicaux. Il assiste l'équipe de recherche clinique dans la rédaction des protocoles expérimentaux.,Microbiologie Santé Essais-Cliniques Laboratoire Diagnostics,3,Oui
OFF-022,Stagiaire Supply Chain,Entrepôt Central Tunis,Sfax,Logistique & Supply Chain,Le stage porte sur la coordination de la chaîne d'approvisionnement de bout en bout. Il contribue à l'organisation de l'entrepôt et à l'optimisation des flux de marchandises. Il assiste le service achats dans la négociation avec les fournisseurs et le suivi des commandes.,Logistique Transport Supply-Chain Gestion-de-Stocks Entrepôt Import-Export,4,Oui
OFF-023,Stage Technicien de Laboratoire,BioTech Nabeul,Ariana,Santé & Biologie,Le stage porte sur le suivi des patients dans le cadre d'essais cliniques encadrés par un médecin référent. La mission inclut des manipulations de biologie moléculaire et l'interprétation de diagnostics médicaux. L'étudiant effectue des tests de microbiologie et consigne les résultats dans les registres du laboratoire.,Diagnostics Contrôle-Qualité Laboratoire Analyses Essais-Cliniques Pharmacovigilance,2,Oui
OFF-024,Stagiaire Achats,Cargo Plus Nabeul,Tunis,Logistique & Supply Chain,Il assiste le service achats dans la négociation avec les fournisseurs et le suivi des commandes. La mission inclut le suivi des opérations d'import export et la gestion des documents douaniers. Le stagiaire optimise la gestion des stocks et suit les niveaux d'approvisionnement sur SAP. Le stage porte sur la coordination de la chaîne d'approvisionnement de bout en bout.,Transport Gestion-de-Stocks Import-Export Supply-Chain Optimisation-des-Flux SAP,5,
OFF-025,Stagiaire Ingénieur Génie Civil,Génie Civil Consulting,Nabeul,Génie Civil & BTP,Le stagiaire assure le suivi de chantier et vérifie la conformité des plans de structures en béton armé. Il participe à l'élaboration des métrés et à l'estimation des quantités de matériaux nécessaires aux ouvrages. La mission inclut le contrôle qualité sur site et le respect des normes de sécurité du chantier. Il contribue à la rédaction des rapports de chantier et au suivi de l'avancement des ouvrages.,Topographie Béton-Armé Plans Revit,4,Oui
OFF-026,Technicien Laboratoire Junior,Clinilab Sfax,Sfax,Santé & Biologie,La mission inclut des manipulations de biologie moléculaire et l'interprétation de diagnostics médicaux. Le stagiaire réalise des analyses en laboratoire et applique les protocoles de contrôle qualité pharmaceutique.,Santé Analyses Diagnostics Protocoles Contrôle-Qualité Laboratoire,3,Non
OFF-027,Stage Ingénieur IA,Carthage Analytics,à distance,Data & IA,La mission consiste à construire des pipelines de features et à évaluer les modèles via precision recall et F1-score. Le stagiaire nettoie et prépare des jeux de données avec Pandas puis entraîne des modèles de classification supervisée.,TensorFlow Machine-Learning Power-BI Pandas,5,Oui
OFF-028,Assistant Gestion des Stocks,LogiTrans Sousse,Sfax,Logistique & Supply Chain,Il participe au suivi des délais de livraison et à la résolution des incidents de transport. La mission inclut le suivi des opérations d'import export et la gestion des documents douaniers.,SAP Planification Logistique Transport Gestion-de-Stocks,,
OFF-029,Stagiaire Trésorerie,Capital Invest Tunis,à distance,Finance & Comptabilité,L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société. Il contribue à l'analyse de portefeuille d'investissement et à l'évaluation des risques financiers. La mission inclut la gestion de la trésorerie quotidienne et le suivi des flux de paiement sur SAP.,Fiscalité Excel SAP Analyse-Financière,5,Oui
OFF-030,Développeur Backend Junior,Medina Digital Labs,à distance,Informatique & Web,Il est chargé de corriger les bugs remontés en production et de documenter le code source sur Git. L'étudiant participe à la maintenance des serveurs Linux et à l'administration réseau de l'infrastructure.,React JavaScript Flutter Git CI/CD Kubernetes,3,Non
OFF-031,Assistant Gestion des Stocks,Achats Express Tunisie,Tunis,Logistique & Supply Chain,Il participe à la planification des transports et à la coordination des livraisons entre entrepôts. La mission inclut le suivi des opérations d'import export et la gestion des documents douaniers.,SAP Supply-Chain Import-Export Gestion-de-Stocks Transport Entrepôt,5,Oui
OFF-032,Stage Analyste Financier,Bilan Expert,à distance,Finance & Comptabilité,Il contribue à l'analyse de portefeuille d'investissement et à l'évaluation des risques financiers. Le stagiaire participe à l'établissement du bilan et à l'analyse des ratios financiers de l'entreprise.,Bilan Comptabilité SAP Trésorerie,6,Oui
OFF-033,Stage Vision par Ordinateur,Smart Data Solutions,Sousse,Data & IA,Le stage porte sur le déploiement de modèles en production via des pratiques MLOps et Spark. Il travaille sur des techniques de TF-IDF et de traitement du langage naturel pour l'analyse de textes. Il implémente des algorithmes de Naive Bayes et de régression logistique pour prédire des variables métier. Il développe des modèles de deep learning avec TensorFlow et PyTorch pour des tâches de vision par ordinateur.,Power-BI Deep-Learning Python TF-IDF,6,Oui
OFF-034,Stage Suivi de Chantier,BTP Confort,Ariana,Génie Civil & BTP,Il participe à l'élaboration des métrés et à l'estimation des quantités de matériaux nécessaires aux ouvrages. Le stagiaire assure le suivi de chantier et vérifie la conformité des plans de structures en béton armé.,AutoCAD Structures Topographie Suivi-de-Travaux Métré Sécurité,2,Oui
OFF-035,Stage SEO SEA,SocialHive,à distance,Marketing & Digital,Il assiste le chef de produit dans le lancement de nouvelles offres et l'étude de la concurrence. Il gère les réseaux sociaux de la marque et planifie un calendrier éditorial de contenu engageant. L'étudiant participe à la mise en place de scénarios d'emailing et de marketing automation. Le stage porte sur le suivi des indicateurs de croissance et l'animation de la communauté en ligne.,Branding Réseaux-Sociaux Community-Management Emailing Marketing-Automation,4,Non
OFF-036,stagiaire brand manager,Visibility Plus,Nabeul,Marketing & Digital,Le stagiaire élabore des campagnes SEO et SEA pour améliorer la visibilité des clients sur Google Ads. La mission inclut la création de contenus visuels sur Canva et la rédaction de textes publicitaires percutants. Le stage porte sur le suivi des indicateurs de croissance et l'animation de la communauté en ligne.,Réseaux-Sociaux Community-Management Branding Emailing,3,
OFF-037,Stagiaire Contrôle Qualité Pharmaceutique,BioSanté Tunis,Ariana,Santé & Biologie,Le stagiaire réalise des analyses en laboratoire et applique les protocoles de contrôle qualité pharmaceutique. Il participe à la gestion des équipements de laboratoire et au respect des normes sanitaires. Le stage porte sur le suivi des patients dans le cadre d'essais cliniques encadrés par un médecin référent. Il participe au suivi des essais cliniques et à la collecte des données de pharmacovigilance.,Contrôle-Qualité Biologie-Moléculaire Pharmacovigilance Laboratoire,3,Oui
OFF-038,Stage Coordinateur Entrepôt,TransMed Sfax,Nabeul,Logistique & Supply Chain,Il participe au suivi des délais de livraison et à la résolution des incidents de transport. La mission inclut le suivi des opérations d'import export et la gestion des documents douaniers.,Transport Supply-Chain Planification Approvisionnement,2,Oui
OFF-039,Stage Développeur Web Full Stack,Tech Solutions Tunisie,Monastir,Informatique & Web,Le stagiaire participera au développement d'applications web en JavaScript et React sous la supervision de l'équipe technique. Il est chargé de corriger les bugs remontés en production et de documenter le code source sur Git. Il travaille sur l'architecture backend en Java Spring Boot et la gestion des bases de données SQL.,Git CI/CD Kubernetes Node.js JavaScript,6,
OFF-040,Stagiaire Ingénieur Machine Learning,NeuralTech Sfax,Monastir,Data & IA,Il travaille sur des techniques de TF-IDF et de traitement du langage naturel pour l'analyse de textes. Le stage porte sur le déploiement de modèles en production via des pratiques MLOps et Spark. Il développe des modèles de deep learning avec TensorFlow et PyTorch pour des tâches de vision par ordinateur. L'étudiant conçoit des tableaux de bord Power BI à partir de données extraites en SQL.,Deep-Learning TF-IDF Spark Machine-Learning Scikit-learn NLP,5,Oui
OFF-041,Stagiaire Paie,Recruta Sfax,Ariana,Ressources Humaines,Il accompagne le processus d'onboarding des nouveaux employés et prépare les documents administratifs. Il contribue à l'organisation de sessions de formation interne et au suivi des indicateurs RH.,Recrutement Paie Fiches-de-Poste Entretiens,5,
OFF-042,stagiaire contrôle qualité pharmaceutique,MedResearch Group,Sfax,Santé & Biologie,Le stagiaire réalise des analyses en laboratoire et applique les protocoles de contrôle qualité pharmaceutique. Il participe au suivi des essais cliniques et à la collecte des données de pharmacovigilance. Il contribue au contrôle qualité des échantillons et à la validation des méthodes d'analyse.,Laboratoire Analyses Protocoles Pharmacovigilance Essais-Cliniques,5,Oui
OFF-043,STAGIAIRE TRÉSORERIE,Portefeuille Plus,Sousse,Finance & Comptabilité,Le stagiaire participe à l'établissement du bilan et à l'analyse des ratios financiers de l'entreprise. L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société.,Fiscalité Bilan Analyse-Financière Audit Contrôle-de-Gestion Ratios-Financiers,3,Oui
OFF-044,Développeur Backend Junior,PixelForge Sousse,Nabeul,Informatique & Web,L'étudiant participe à la maintenance des serveurs Linux et à l'administration réseau de l'infrastructure. Le candidat contribue aux revues de code et aux tests unitaires afin d'assurer la qualité du logiciel livré.,Docker Git Symfony CI/CD JavaScript React,6,Oui
OFF-045,Assistant Architecte Technique,Carthage Construction,Nabeul,Génie Civil & BTP,Il utilise AutoCAD et Revit pour la conception des plans techniques et des structures du bâtiment. Le stagiaire assure le suivi de chantier et vérifie la conformité des plans de structures en béton armé. La mission inclut le contrôle qualité sur site et le respect des normes de sécurité du chantier. Il contribue à la rédaction des rapports de chantier et au suivi de l'avancement des ouvrages.,Topographie Suivi-de-Travaux AutoCAD Revit Métré Plans,6,Oui
OFF-046,stage analyste financier,Bilan Expert,à distance,Finance & Comptabilité,Il utilise Excel avancé pour construire des modèles financiers et des tableaux de bord de trésorerie. Le stagiaire participe à l'établissement du bilan et à l'analyse des ratios financiers de l'entreprise.,Fiscalité Comptabilité SAP Trésorerie Contrôle-de-Gestion IFRS,5,Oui
OFF-047,Stagiaire Reporting Financier,Bilan Expert,à distance,Finance & Comptabilité,Il prépare des rapports de reporting financier mensuel destinés à la direction générale. L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société.,Analyse-Financière Trésorerie Comptabilité Audit Fiscalité,5,Oui
OFF-048,Stage Essais Cliniques,MedResearch Group,Sfax,Santé & Biologie,Il contribue au contrôle qualité des échantillons et à la validation des méthodes d'analyse. La mission inclut des manipulations de biologie moléculaire et l'interprétation de diagnostics médicaux. Le stagiaire réalise des analyses en laboratoire et applique les protocoles de contrôle qualité pharmaceutique. L'étudiant effectue des tests de microbiologie et consigne les résultats dans les registres du laboratoire.,Laboratoire Microbiologie Analyses Santé Pharmacovigilance,6,
OFF-049,Stage Administrateur Systèmes et Réseaux,Carthage Software,Ariana,Informatique & Web,Il est chargé de corriger les bugs remontés en production et de documenter le code source sur Git. Il travaille sur l'architecture backend en Java Spring Boot et la gestion des bases de données SQL. Il conçoit et implémente des API REST en Node.js et Symfony pour les modules internes de la plateforme. La mission inclut la mise en place de pipelines CI/CD et la conteneurisation des services avec Docker et Kubernetes.,CI/CD API-REST Spring-Boot PHP Git SQL,4,Oui
OFF-050,Technicien Laboratoire Junior,Analyse Plus Sousse,Ariana,Santé & Biologie,Il assiste l'équipe de recherche clinique dans la rédaction des protocoles expérimentaux. Il participe au suivi des essais cliniques et à la collecte des données de pharmacovigilance.,Laboratoire Diagnostics Santé Contrôle-Qualité Protocoles Biologie-Moléculaire,4,Oui
OFF-051,Stage Développeur Mobile Flutter,Tech Solutions Tunisie,Nabeul,Informatique & Web,L'étudiant participe à la maintenance des serveurs Linux et à l'administration réseau de l'infrastructure. Il conçoit et implémente des API REST en Node.js et Symfony pour les modules internes de la plateforme.,API-REST Symfony Linux JavaScript Node.js,5,Oui
OFF-052,Assistant Conducteur de Travaux,Béton Expert Monastir,Sousse,Génie Civil & BTP,Il participe à l'élaboration des métrés et à l'estimation des quantités de matériaux nécessaires aux ouvrages. La mission inclut le contrôle qualité sur site et le respect des normes de sécurité du chantier.,Suivi-de-Travaux Structures Chantier Béton-Armé,2,Oui
OFF-053,Assistant Gestion de Portefeuille,Capital Invest Tunis,Monastir,Finance & Comptabilité,Il assiste l'équipe d'audit dans la vérification des comptes et le contrôle des procédures internes. Il utilise Excel avancé pour construire des modèles financiers et des tableaux de bord de trésorerie. Le stagiaire participe à l'établissement du bilan et à l'analyse des ratios financiers de l'entreprise.,Bilan Fiscalité Excel Contrôle-de-Gestion,3,Oui
OFF-054,Stage Onboarding,Emploi Direct Tunisie,Tunis,Ressources Humaines,Il accompagne le processus d'onboarding des nouveaux employés et prépare les documents administratifs. La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH. L'étudiant assiste aux entretiens de recrutement et rédige des comptes rendus d'évaluation des compétences. Le stage porte sur la veille en droit du travail et la mise à jour des procédures internes.,Fiches-de-Poste Droit-du-Travail Formation Évaluation-des-Compétences,6,Oui
OFF-055,assistant gestion de portefeuille,Maghreb Audit Group,Sousse,Finance & Comptabilité,La mission inclut la gestion de la trésorerie quotidienne et le suivi des flux de paiement sur SAP. Le stagiaire participe à l'établissement du bilan et à l'analyse des ratios financiers de l'entreprise. Il assiste l'équipe d'audit dans la vérification des comptes et le contrôle des procédures internes. Il utilise Excel avancé pour construire des modèles financiers et des tableaux de bord de trésorerie.,IFRS Contrôle-de-Gestion Ratios-Financiers Audit Trésorerie Bilan,6,Non
OFF-056,stage chargé de recrutement,Emploi Direct Tunisie,Sousse,Ressources Humaines,La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH. Le stagiaire rédige des fiches de poste et présélectionne des candidats pour les entretiens de recrutement. Il participe à la gestion des talents et au suivi des plans de formation des collaborateurs. L'étudiant assiste aux entretiens de recrutement et rédige des comptes rendus d'évaluation des compétences.,Formation Recrutement Entretiens Droit-du-Travail Paie Évaluation-des-Compétences,4,Oui
OFF-057,Stage Ingénieur BTP Chantier,Génie Civil Consulting,Ariana,Génie Civil & BTP,Il participe aux relevés topographiques et à la vérification des fondations avant coulage du béton. L'étudiant assiste le conducteur de travaux dans la coordination des équipes sur le chantier. Le stage porte sur le suivi budgétaire des travaux et la gestion des approvisionnements en matériaux. La mission inclut le contrôle qualité sur site et le respect des normes de sécurité du chantier.,Chantier Béton-Armé Ouvrages Métré,5,Oui
OFF-058,Assistant Gestion des Stocks,FlowChain Monastir,Nabeul,Logistique & Supply Chain,Il participe à la planification des transports et à la coordination des livraisons entre entrepôts. L'étudiant analyse les indicateurs de performance logistique et propose des axes d'amélioration. Le stagiaire optimise la gestion des stocks et suit les niveaux d'approvisionnement sur SAP. La mission inclut le suivi des opérations d'import export et la gestion des documents douaniers.,Supply-Chain Logistique Gestion-de-Stocks Import-Export Optimisation-des-Flux Entrepôt,6,Non
OFF-059,technicien laboratoire junior,PharmaCare Monastir,Tunis,Santé & Biologie,Le stage porte sur le suivi des patients dans le cadre d'essais cliniques encadrés par un médecin référent. Il participe à la gestion des équipements de laboratoire et au respect des normes sanitaires.,Pharmacovigilance Contrôle-Qualité Analyses Protocoles Biologie-Moléculaire Santé,3,Oui
OFF-060,Stage Développeur Web Full Stack,Tech Solutions Tunisie,à distance,Informatique & Web,L'étudiant participe à la maintenance des serveurs Linux et à l'administration réseau de l'infrastructure. La mission inclut la mise en place de pipelines CI/CD et la conteneurisation des services avec Docker et Kubernetes. Le stagiaire participera au développement d'applications web en JavaScript et React sous la supervision de l'équipe technique.,Kubernetes API-REST SQL Java,3,Non
OFF-061,Stagiaire Pharmacovigilance,Pharmalab Tunisie,Sfax,Santé & Biologie,Il contribue au contrôle qualité des échantillons et à la validation des méthodes d'analyse. Il assiste l'équipe de recherche clinique dans la rédaction des protocoles expérimentaux. L'étudiant effectue des tests de microbiologie et consigne les résultats dans les registres du laboratoire. Le stage porte sur le suivi des patients dans le cadre d'essais cliniques encadrés par un médecin référent.,Santé Microbiologie Biologie-Moléculaire Protocoles Diagnostics,,
OFF-062,ASSISTANT ARCHITECTE TECHNIQUE,ArchiTech Tunis,Ariana,Génie Civil & BTP,Le stage porte sur le suivi budgétaire des travaux et la gestion des approvisionnements en matériaux. La mission inclut le contrôle qualité sur site et le respect des normes de sécurité du chantier.,Structures Plans Génie-Civil Revit Béton-Armé,4,Non
OFF-063,Stagiaire Ingénieur Logiciel,PixelForge Sousse,Nabeul,Informatique & Web,La mission inclut la mise en place de pipelines CI/CD et la conteneurisation des services avec Docker et Kubernetes. Il conçoit et implémente des API REST en Node.js et Symfony pour les modules internes de la plateforme. L'étudiant participe à la maintenance des serveurs Linux et à l'administration réseau de l'infrastructure. Le stage porte sur le développement mobile multiplateforme avec Flutter et l'intégration de services cloud.,JavaScript Node.js SQL Java Spring-Boot,3,Oui
OFF-064,Ingénieur Chantier Junior,BTP Confort,Ariana,Génie Civil & BTP,Il participe à l'élaboration des métrés et à l'estimation des quantités de matériaux nécessaires aux ouvrages. Il participe aux relevés topographiques et à la vérification des fondations avant coulage du béton.,Métré Topographie Suivi-de-Travaux Plans Génie-Civil,6,Oui
OFF-065,Stage Suivi de Chantier,Chantiers du Nord,Sfax,Génie Civil & BTP,La mission inclut le contrôle qualité sur site et le respect des normes de sécurité du chantier. Le stage porte sur le suivi budgétaire des travaux et la gestion des approvisionnements en matériaux. Il participe aux relevés topographiques et à la vérification des fondations avant coulage du béton. Le stagiaire assure le suivi de chantier et vérifie la conformité des plans de structures en béton armé.,Suivi-de-Travaux Sécurité AutoCAD Revit Plans Ouvrages,2,Non
OFF-066,Assistant Contrôleur de Gestion,Maghreb Audit Group,Nabeul,Finance & Comptabilité,Il prépare des rapports de reporting financier mensuel destinés à la direction générale. Il utilise Excel avancé pour construire des modèles financiers et des tableaux de bord de trésorerie. L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société.,Analyse-Financière Fiscalité Bilan IFRS,4,Non
OFF-067,Auditeur Junior,Trésor Conseil Tunisie,Sfax,Finance & Comptabilité,Il prépare des rapports de reporting financier mensuel destinés à la direction générale. Il contribue à l'analyse de portefeuille d'investissement et à l'évaluation des risques financiers.,Bilan SAP Excel Comptabilité,3,Oui
